City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Atuona,78.19,light rain,-9.8,-139.03,Villa Enata
8,Georgetown,80.6,few clouds,5.41,100.34,Cititel Penang
29,Hilo,77.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
32,Wattegama,80.6,overcast clouds,6.8,81.48,
33,Hithadhoo,83.39,light rain,-0.6,73.08,Scoop Guest House
36,Bathsheba,86.0,shower rain,13.22,-59.52,Atlantis Hotel
38,Buala,80.74,light rain,-8.14,159.59,Maringe Lagoon Lodge
44,Vallenar,82.9,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
46,Butaritari,81.68,clear sky,3.07,172.79,Isles Sunset Lodge
49,Praia,84.2,scattered clouds,14.92,-23.51,LT Aparthotel
51,Upington,78.8,clear sky,-28.45,21.26,River Place Manor
57,Kapaa,75.0,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
60,Touros,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
65,Cabedelo,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
67,Puerto Ayora,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
76,Nabire,76.69,light rain,-3.37,135.48,Hotel Nusantara Nabire
78,Manta,86.0,scattered clouds,-0.95,-80.73,Balandra Hotel
84,Lorengau,82.69,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
86,Tanout,79.79,clear sky,14.97,8.89,
87,San Cristobal,84.2,scattered clouds,7.77,-72.22,Pirineos
90,Maumere,79.75,overcast clouds,-8.62,122.21,Sylvia Hotel
91,Avarua,77.0,broken clouds,-21.21,-159.78,Paradise Inn
93,Pombas,80.6,broken clouds,17.15,-25.02,POUSADA O RECANTO
100,Adrar,83.66,overcast clouds,20.5,-10.07,
107,Bengkulu,75.16,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
108,Basco,80.04,overcast clouds,20.45,121.97,Nathaniel's Lodge
112,Puerto Ayacucho,76.26,light rain,5.66,-67.62,Posada Turistica Manapiare
115,Salta,78.8,few clouds,-24.79,-65.41,Hotel Alejandro I
121,Tarauaca,89.4,overcast clouds,-8.16,-70.77,Flat Temporada
123,Salinopolis,84.85,few clouds,-0.61,-47.36,Hotel Salinópolis
134,Bacolod,77.85,overcast clouds,10.67,122.95,Planta Hotel & Residences
137,Kota Belud,77.0,few clouds,6.35,116.43,Tang Dynasty Lodge Kota Belud
142,General Roca,89.6,clear sky,-39.03,-67.58,Hotel El Recreo
143,Acapulco,86.65,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
145,Fort Walton Beach,77.0,clear sky,30.41,-86.62,Best Western Ft. Walton Beachfront
146,Esmeralda,87.8,broken clouds,21.85,-78.12,campismo las palmas
149,Trairi,84.31,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
151,Victoria,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
156,Davila,80.6,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
159,Paciran,77.63,heavy intensity rain,-6.88,112.38,Tanjung Kodok Beach Resort
160,Tessalit,81.18,overcast clouds,20.2,1.01,
172,Luwuk,77.83,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
174,Comodoro Rivadavia,77.0,clear sky,-45.87,-67.5,Austral Hotel
175,Cordoba,84.0,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
185,Kavaratti,82.06,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
186,Dingle,75.58,overcast clouds,11.0,122.67,Camp Pasica
187,Cabo San Lucas,88.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
188,Luba,77.0,scattered clouds,3.46,8.55,
192,Liku,76.03,moderate rain,-0.73,119.89,Agoes Liverpool
193,Mahina,82.4,shower rain,-17.51,-149.49,Guest Beach Bungalow Tahiti
194,Salalah,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
196,Cordele,75.99,clear sky,31.96,-83.78,Ramada by Wyndham Cordele
203,Dzaoudzi,75.2,clear sky,-12.79,45.27,Le Rocher
204,Srandakan,76.48,moderate rain,-7.94,110.25,Puri Brata
206,Carlsbad,84.0,clear sky,33.16,-117.35,Carlsbad Inn Beach Resort
213,Quelimane,75.2,few clouds,-17.88,36.89,Hotel Flamingo
214,Atar,86.77,overcast clouds,20.52,-13.05,Oumou Elghoura
217,San Rafael,85.42,clear sky,-34.62,-68.33,Hotel San Rafael
219,Port Keats,81.73,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
220,Vaitape,80.56,light rain,-16.52,-151.75,Conrad Bora Bora Nui
221,Namatanai,80.08,overcast clouds,-3.67,152.43,Namatanai Hotel
223,Itarema,84.51,clear sky,-2.92,-39.92,Windvillage
225,Marawi,75.99,moderate rain,8.0,124.29,Derogongan Residence
227,Lake Charles,75.0,clear sky,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
231,Manadhoo,82.47,few clouds,5.77,73.38,Vevu Guesthouse
232,Bonthe,80.33,clear sky,7.53,-12.51,Bonthe Holiday Village
