City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Erenhot,CN,43.65,111.98,29.28,66,0,18.99,clear sky
1,Bo Phloi,TH,14.32,99.52,84.25,73,23,9.37,few clouds
2,Barrow,US,71.29,-156.79,26.6,68,75,12.75,broken clouds
3,Bluff,NZ,-46.6,168.33,55.99,67,26,11.01,scattered clouds
4,Hermanus,ZA,-34.42,19.23,63.0,86,97,1.99,overcast clouds
5,Georgetown,MY,5.41,100.34,86.0,74,20,5.82,few clouds
6,Punta Arenas,CL,-53.15,-70.92,51.8,71,0,5.82,clear sky
7,Lebu,CL,-37.62,-73.65,52.81,93,96,6.82,overcast clouds
8,Bengkulu,ID,-3.8,102.27,83.41,70,100,1.95,overcast clouds
9,Tabou,CI,4.42,-7.35,77.0,89,31,5.57,scattered clouds
10,Hobart,AU,-42.88,147.33,82.99,36,0,4.7,clear sky
11,Qaanaaq,GL,77.48,-69.36,3.02,74,0,5.93,clear sky
12,Longyearbyen,SJ,78.22,15.64,35.6,69,0,26.4,clear sky
13,Vaini,TO,-21.2,-175.2,78.8,83,75,10.29,broken clouds
14,Faanui,PF,-16.48,-151.75,80.06,80,6,17.98,light rain
15,Smithers,CA,54.78,-127.17,44.6,93,75,3.36,broken clouds
16,Cape Town,ZA,-33.93,18.42,63.0,82,0,10.29,clear sky
17,Mataura,NZ,-46.19,168.86,55.99,66,31,11.01,scattered clouds
18,Miamisburg,US,39.64,-84.29,34.0,88,1,6.93,clear sky
19,Busselton,AU,-33.65,115.33,66.99,52,96,2.93,light rain
20,Jamestown,US,42.1,-79.24,35.01,97,90,26.4,overcast clouds
21,Rikitea,PF,-23.12,-134.97,74.03,85,74,24.83,broken clouds
22,Hilo,US,19.73,-155.09,82.4,65,1,4.7,clear sky
23,Chokurdakh,RU,70.63,147.92,-1.32,93,100,12.8,light snow
24,Victoria,HK,22.29,114.16,82.99,58,100,1.99,overcast clouds
25,Diego De Almagro,CL,-26.37,-70.05,52.92,43,0,1.59,clear sky
26,Sembakung,ID,3.82,117.25,79.83,82,100,1.74,light rain
27,Belmonte,BR,-15.86,-38.88,68.0,88,75,8.05,moderate rain
28,Khandyga,RU,62.67,135.6,-3.64,82,0,2.26,clear sky
29,Sao Filipe,CV,14.9,-24.5,78.15,77,68,3.42,broken clouds
30,Garwa,IN,24.18,83.82,77.83,41,0,5.01,clear sky
31,Sorokino,RU,53.75,84.92,34.39,89,100,9.4,overcast clouds
32,Atambua,ID,-9.11,124.89,88.34,46,88,2.57,overcast clouds
33,Severo-Kurilsk,RU,50.68,156.12,43.29,77,32,13.47,scattered clouds
34,Kahului,US,20.89,-156.47,84.2,62,40,9.17,scattered clouds
